id,name
soie,Fil de soie
lin-filasse,Fil de lin (filasse)
lin-etoupe,Fil de lin (étoupe)
laine-merinos,"Fil de laine de mouton Mérinos, inventaire partiellement agrégé"
laine-mouton,Fil de laine de mouton
jute-kenaf,Fil de jute / kenaf
coton,"Fil de coton conventionnel, inventaire partiellement agrégé"
chanvre,Fil de chanvre
cachemire,Fil de cachemire
angora-mohair,Fil d'angora / mohair
viscose,Filament de viscose
ptt,"Filament de polytriméthylène téréphtalate (PTT), inventaire partiellement agrégé"
pbt,"Filament de polytéréphtalate de butylène (PBT), inventaire agrégé"
pp,Filament de polypropylène
pla,Filament de polylactide
pe,Filament de polyéthylène
pet,"Filament de polyester, inventaire partiellement agrégé"
pa,Filament de polyamide 66
aramide,Filament d'aramide
acrylique,Filament d'acrylique
pp-pa,Filament bi-composant polypropylène/polyamide
neoprene,"Feuille de néoprène, inventaire agrégé"
pet-rm,"Production de filament de polyester recyclé (recyclage mécanique), traitement de bouteilles post-consommation, inventaire partiellement agrégé"
pet-rcp,"Production de filament de polyester recyclé (recyclage chimique partiel), traitement de bouteilles post-consommation, inventaire partiellement agrégé"
pet-rcc,"Production de filament de polyester recyclé (recyclage chimique complet), traitement de bouteilles post-consommation, inventaire partiellement agrégé"
pa-rc,"Production de filament de polyamide recyclé (recyclage chimique), traitement de déchets issus de filets de pêche, de tapis et de déchets de production, inventaire partiellement agrégé"
viscose-r,"Production de fil de viscose recyclé (recyclage mécanique), traitement de déchets de production textiles, inventaire partiellement agrégé"
pa-rm,"Production de fil de polyamide recyclé (recyclage mécanique), traitement de déchets de production textiles, inventaire partiellement agrégé"
laine-r,"Production de fil de laine recyclé (recyclage mécanique), traitement de déchets de production textiles, inventaire partiellement agrégé"
coton-rdpc,"Production de fil de coton recyclé (recyclage mécanique), traitement de déchets textiles post-consommation, inventaire partiellement agrégé"
coton-rdp,"Production de fil de coton recyclé (recyclage mécanique), traitement de déchets de production textiles, inventaire partiellement agrégé"
acrylique-r,"Production de fil d'acrylique recyclé (recyclage mécanique), traitement de déchets de production textiles, inventaire partiellement agrégé"
pu,Filament de polyuréthane / Élasthanne
